Date,Stock price,Strike price,T,Risk-Free Rate,Log Returns,Historical Volatility
2014-01-02,9.9867,,,0.03,-0.007245094,0.306857666
2014-01-03,10,,,0.0301,0.000577996,0.306257229
2014-01-06,10,,,0.0298,0,0.305664601
2014-01-07,9.8413,,,0.0296,-0.006947529,0.305211049
2014-01-08,9.9233,,,0.0301,0.00360365,0.304616166
2014-01-09,10.1667,,,0.0297,0.010523887,0.304125181
2014-01-10,9.8973,,,0.0288,-0.011663274,0.303860038
2014-01-13,9.7187,,,0.0284,-0.007908558,0.303446656
2014-01-14,9.3667,,,0.0288,-0.016021566,0.303407774
2014-01-15,11.23,,,0.029,0.078793146,0.311953815
2014-01-16,10.8333,,,0.0286,-0.015618986,0.311873973
2014-01-17,11.346,,,0.0284,0.020082009,0.311746998
2014-01-21,11.416,,,0.0285,0.002671181,0.311156009
2014-01-22,11.854,,,0.0287,0.016350963,0.310852524
2014-01-23,11.8153,,,0.0279,-0.00142017,0.310294111
2014-01-24,11.8567,,,0.0275,0.001519078,0.309714732
2014-01-27,11.6773,,,0.0278,-0.006621394,0.309268829
2014-01-28,11.4333,,,0.0277,-0.009170839,0.308906218
2014-01-29,11.6867,,,0.0269,0.009520297,0.308404787
2014-01-30,11.8667,,,0.0272,0.006638067,0.307858867
2014-01-31,11.9233,,,0.0267,0.002066508,0.307293014
2014-02-03,12.1927,,,0.0261,0.009703417,0.306803455
2014-02-04,12.0467,,,0.0264,-0.005231793,0.306337532
2014-02-05,11.8867,,,0.027,-0.005806793,0.305887694
2014-02-06,11.7533,,,0.0273,-0.00490148,0.305418089
2014-02-07,12.0673,,,0.0271,0.011450288,0.304982005
2014-02-10,12.6227,,,0.027,0.019542151,0.304855537
2014-02-11,13.2793,,,0.0275,0.022022922,0.304859234
2014-02-12,13.052,,,0.028,-0.007498117,0.304470228
2014-02-13,12.8893,,,0.0273,-0.005447733,0.304026806
2014-02-14,13.2067,,,0.0275,0.010564981,0.303577484
2014-02-18,13.6829,,,0.0271,0.01538384,0.303274228
2014-02-19,13.58,,,0.0273,-0.003278383,0.302793683
2014-02-20,14.334,,,0.0276,0.02346763,0.302885538
2014-02-21,14.1093,,,0.0273,-0.006861932,0.302492365
2014-02-24,13.9173,,,0.0275,-0.005950479,0.302076142
2014-02-25,15.3333,,,0.027,0.042080644,0.303775962
2014-02-26,17.2387,,,0.0267,0.050868879,0.306526596
2014-02-27,17.4167,,,0.0265,0.004461359,0.306000334
2014-02-28,16.6433,,,0.0266,-0.01972643,0.306208456
2014-03-03,15.8173,,,0.026,-0.02210709,0.306569869
2014-03-04,17.232,,,0.027,0.037203334,0.307687384
2014-03-05,17.1147,,,0.027,-0.002966395,0.307213831
2014-03-06,16.9427,,,0.0274,-0.00438667,0.306768823
2014-03-07,16.8627,,,0.028,-0.002055507,0.306285529
2014-03-10,16.18,,,0.0279,-0.017948596,0.306374431
2014-03-11,15.7667,,,0.0277,-0.011237713,0.306135514
2014-03-12,15.4333,,,0.0273,-0.009282006,0.305825707
